,Year,Month,Precipitation_mm,Date,Filename
0,2006,1,40.22344972472638,2006-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
1,2006,2,15.526987641351297,2006-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
2,2006,3,33.38542606215924,2006-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
3,2006,4,23.76497966470197,2006-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
4,2006,5,39.676923758815974,2006-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
5,2006,6,60.81037474796176,2006-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
6,2006,7,27.956851792987436,2006-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
7,2006,8,61.53848196845502,2006-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
8,2006,9,21.56891778577119,2006-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
9,2006,10,40.73813367867842,2006-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
10,2006,11,56.897574733011425,2006-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
11,2006,12,40.378088294528425,2006-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
12,2007,1,42.525171674788,2007-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
13,2007,2,34.252859686966985,2007-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
14,2007,3,71.28516705706716,2007-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
15,2007,4,25.306140712928027,2007-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
16,2007,5,64.53276264946908,2007-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
17,2007,6,48.1463982257992,2007-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
18,2007,7,54.60568286944181,2007-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
19,2007,8,66.3064856780693,2007-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
20,2007,9,20.279109792318195,2007-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
21,2007,10,21.048252924811095,2007-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
22,2007,11,20.552284293808043,2007-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
23,2007,12,28.687773132696748,2007-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
24,2008,1,23.738360730931163,2008-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
25,2008,2,32.69213559105992,2008-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
26,2008,3,30.7497002533637,2008-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
27,2008,4,26.860469626262784,2008-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
28,2008,5,59.558254829607904,2008-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
29,2008,6,83.38821697980165,2008-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
30,2008,7,36.1687631579116,2008-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
31,2008,8,51.254426781088114,2008-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
32,2008,9,21.848473482532427,2008-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
33,2008,10,31.91084173740819,2008-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
34,2008,11,12.406530819134787,2008-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
35,2008,12,29.847475024871528,2008-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
36,2009,1,9.738055631169118,2009-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
37,2009,2,17.859943548683077,2009-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
38,2009,3,46.745107672177255,2009-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
39,2009,4,5.840583026292734,2009-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
40,2009,5,45.89096512645483,2009-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
41,2009,6,36.03429679060355,2009-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
42,2009,7,19.54338907962665,2009-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
43,2009,8,39.98505708295852,2009-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
44,2009,9,36.24887393089011,2009-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
45,2009,10,9.085405577206984,2009-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
46,2009,11,17.219625815050676,2009-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
47,2009,12,31.841104198247194,2009-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
48,2010,1,30.572107736952603,2010-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
49,2010,2,38.412412034813315,2010-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
50,2010,3,30.88668716372922,2010-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
51,2010,4,57.404387765564024,2010-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
52,2010,5,57.07442827988416,2010-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
53,2010,6,42.91560093406588,2010-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
54,2010,7,32.911296794191,2010-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
55,2010,8,26.25086816260591,2010-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
56,2010,9,20.05164343281649,2010-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
57,2010,10,21.05290315230377,2010-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
58,2010,11,69.26347590051591,2010-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
59,2010,12,24.06454113079235,2010-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
60,2011,1,23.47763366997242,2011-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
61,2011,2,42.62730946065858,2011-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
62,2011,3,41.626484133303165,2011-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
63,2011,4,42.05941812833771,2011-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
64,2011,5,93.72379761189222,2011-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
65,2011,6,63.52426379453391,2011-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
66,2011,7,59.545124997384846,2011-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
67,2011,8,19.397401419701055,2011-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
68,2011,9,48.67529673501849,2011-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
69,2011,10,47.115404647774994,2011-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
70,2011,11,36.73086186172441,2011-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
71,2011,12,51.05888117104769,2011-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
72,2012,1,27.20518052810803,2012-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20120101-20121231.nc
73,2012,2,47.76172167621553,2012-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20120101-20121231.nc
