,Year,Month,Precipitation_mm,Date,Filename
0,2006,1,22.410667,2006-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
1,2006,2,23.239029,2006-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
2,2006,3,57.71633,2006-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
3,2006,4,21.745304,2006-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
4,2006,5,36.1798,2006-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
5,2006,6,64.27661,2006-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
6,2006,7,73.0994,2006-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
7,2006,8,33.62497,2006-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
8,2006,9,70.256805,2006-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
9,2006,10,38.31665,2006-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
10,2006,11,39.79225,2006-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
11,2006,12,29.360249,2006-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
12,2007,1,31.147757,2007-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
13,2007,2,5.4836025,2007-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
14,2007,3,35.801662,2007-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
15,2007,4,43.87422,2007-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
16,2007,5,23.269686,2007-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
17,2007,6,59.014526,2007-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
18,2007,7,58.277443,2007-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
