T,Evap,P,FYM,AGB,SoilCover,Crop,Scenario
1.6423893,7.3879317877181165,32.462883,0.0,2.91444281612116,0.6,6.0,8.5_baselinesubset_0
-0.30704117,5.260736297748174,40.729546,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
1.0966606,4.85220432486939,48.123306,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
1.4505157,7.053918540564682,83.49475,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
3.8015194,14.078047298835546,36.104973,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
3.7273617,19.881467101545443,23.945068,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
8.755075,28.881290470596426,37.597027,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
12.569057,34.77097220033172,38.47734,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
17.987352,66.20872313529584,20.078812,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
17.286499,82.08906180811351,16.512486,0.0,1.909527072292431,0.6,7.0,8.5_baselinesubset_0
14.7462845,46.485290555149824,36.373013,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
8.291058,12.123367666496584,73.83623,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
3.9540634,6.637700346790605,33.95984,0.0,0.41331656249999993,0.6,2.0,8.5_baselinesubset_0
1.0633488,3.613528671408132,43.85142,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
0.29185295,6.065502423811604,28.17797,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
5.099331,11.109454033737348,37.05368,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
0.2638588,9.694783624842113,47.754307,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
5.129408,14.941420093207128,71.001526,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
7.7907257,22.49581507565646,68.11029,0.0,0.0,0.6,5.0,8.5_baselinesubset_0
12.167948,37.734733138597086,27.032608,0.0,0.001981190798376184,0.6,5.0,8.5_baselinesubset_0
16.986313,53.21350632777854,51.545788,0.0,0.001981190798376184,0.6,5.0,8.5_baselinesubset_0
17.17094,65.3869293852276,16.455414,0.0,0.001981190798376184,0.6,5.0,8.5_baselinesubset_0
13.0909195,29.405620214547742,67.39158,0.0,0.0059435723951285525,0.6,5.0,8.5_baselinesubset_0
