,Year,Month,Precipitation_mm,Date,Filename
36,2009,1,20.076153,2009-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
37,2009,2,36.057686,2009-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
38,2009,3,45.046906,2009-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
39,2009,4,47.71644,2009-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
40,2009,5,67.068855,2009-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
41,2009,6,74.89642,2009-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
42,2009,7,30.46756,2009-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
43,2009,8,32.978493,2009-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
44,2009,9,36.561005,2009-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
45,2009,10,5.7647915,2009-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
46,2009,11,37.981182,2009-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
47,2009,12,47.73669,2009-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
48,2010,1,11.777754,2010-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
49,2010,2,35.668427,2010-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
50,2010,3,51.273693,2010-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
51,2010,4,36.908916,2010-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
52,2010,5,65.69082,2010-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
53,2010,6,43.955303,2010-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
54,2010,7,45.331123,2010-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
55,2010,8,50.89628,2010-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
56,2010,9,28.606121,2010-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
57,2010,10,26.14732,2010-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
58,2010,11,42.463364,2010-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
59,2010,12,38.706013,2010-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
60,2011,1,34.993156,2011-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
61,2011,2,37.06561,2011-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
62,2011,3,10.53059,2011-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
63,2011,4,31.958258,2011-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
64,2011,5,58.1885,2011-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
65,2011,6,59.860355,2011-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
66,2011,7,60.106537,2011-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
67,2011,8,56.188484,2011-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
68,2011,9,23.260283,2011-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
69,2011,10,45.618065,2011-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
70,2011,11,20.054523,2011-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
71,2011,12,24.983353,2011-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
72,2012,1,39.50267,2012-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20120101-20121231.nc
73,2012,2,40.01429,2012-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20120101-20121231.nc
74,2012,3,77.50676,2012-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20120101-20121231.nc
75,2012,4,54.742203,2012-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20120101-20121231.nc
76,2012,5,86.92494,2012-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20120101-20121231.nc
77,2012,6,49.68402,2012-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20120101-20121231.nc
78,2012,7,60.28778,2012-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20120101-20121231.nc
