,Year,Month,Temperature_C,Date,Filename
0,2006,1,-0.4850216,2006-01,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
1,2006,2,-0.749382,2006-02,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
2,2006,3,-0.064437866,2006-03,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
3,2006,4,2.0352688,2006-04,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
4,2006,5,6.8554516,2006-05,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
5,2006,6,14.134983,2006-06,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
6,2006,7,16.917246,2006-07,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
7,2006,8,16.132584,2006-08,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
8,2006,9,14.553728,2006-09,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
9,2006,10,9.031666,2006-10,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
10,2006,11,2.8042145,2006-11,tas_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
